"infoDate";"Precipitation";"TemperatureC";"Humidity";"ID"
"1962-04-15";"0";"0";"0";"0"
"1962-04-16";"0";"0";"0";"0"
"1962-04-17";"0";"0";"0";"0"
"1962-04-18";"0";"0";"0";"0"
"1962-04-19";"0";"0";"0";"0"
"1962-04-20";"0";"0";"0";"0"
"1962-04-21";"0";"0";"0";"0"
"1962-04-22";"0";"0";"0";"0"
"1962-04-23";"0";"0";"0";"0"
"1962-04-24";"0";"0";"0";"0"
"1962-04-25";"0";"0";"0";"0"
"1962-04-26";"0";"0";"0";"0"
"1962-04-27";"0";"0";"0";"0"
"1962-04-28";"0";"0";"0";"0"
"1962-04-29";"0";"0";"0";"0"
"1962-04-30";"0";"0";"0";"0"
"1962-05-01";"0";"21.4";"81.5";"0"
"1962-05-02";"4.9";"21.7";"76";"0"
"1962-05-03";"8.3";"21.1";"77.5";"0"
"1962-05-04";"4.7";"20.5";"78";"0"
"1962-05-05";"0";"20";"74.5";"0"
"1962-05-06";"0";"20.1";"74";"0"
"1962-05-07";"0";"20.6";"75.5";"0"
"1962-05-08";"0";"20.2";"75.8";"0"
"1962-05-09";"0";"19.5";"74.3";"0"
"1962-05-10";"0";"19.6";"73.5";"0"
"1962-05-11";"0";"19.5";"78.3";"0"
"1962-05-12";"0";"19.4";"76.5";"0"
"1962-05-13";"0";"20.3";"68.8";"0"
"1962-05-14";"0";"20.3";"73.8";"0"
"1962-05-15";"0";"20.3";"73";"0"
"1962-05-16";"0";"20.8";"70.5";"0"
"1962-05-17";"0";"22.7";"78.3";"0"
"1962-05-18";"0";"21.5";"82.8";"0"
"1962-05-19";"0";"21";"77.5";"0"
"1962-05-20";"0";"21.4";"79.8";"0"
"1962-05-21";"0";"22.3";"77.5";"0"
"1962-05-22";"0";"22.6";"80.5";"0"
"1962-05-23";"0";"22.4";"83.8";"0"
"1962-05-24";"0";"21.1";"74.5";"0"
"1962-05-25";"0";"20.6";"77.3";"0"
"1962-05-26";"0";"20.5";"76";"0"
"1962-05-27";"0";"19.8";"73.8";"0"
"1962-05-28";"0";"20.4";"77";"0"
"1962-05-29";"0";"19.5";"76.3";"0"
"1962-05-30";"0";"19";"77.5";"0"
"1962-05-31";"0";"18.6";"75.8";"0"
"1962-06-01";"0";"18.8";"78.3";"0"
"1962-06-02";"0";"18.9";"77.3";"0"
"1962-06-03";"10.3";"19.5";"73.5";"0"
"1962-06-04";"5.2";"17.8";"78";"0"
"1962-06-05";"0";"18.7";"71.8";"0"
"1962-06-06";"1.3";"18.3";"76.5";"0"
"1962-06-07";"0";"19.5";"76.8";"0"
"1962-06-08";"5.8";"19.7";"73.5";"0"
"1962-06-09";"0";"20.4";"73.5";"0"
"1962-06-10";"0";"20.1";"72";"0"
"1962-06-11";"0";"18.6";"70.8";"0"
"1962-06-12";"0";"18.2";"77.8";"0"
"1962-06-13";"0";"18.5";"74.3";"0"
"1962-06-14";"0";"18.3";"76.3";"0"
"1962-06-15";"0";"18.8";"71.3";"0"
"1962-06-16";"0";"18.1";"76.8";"0"
"1962-06-17";"0";"18.2";"74.5";"0"
"1962-06-18";"0";"18.3";"75.5";"0"
"1962-06-19";"0";"18.7";"75.3";"0"
"1962-06-20";"0";"19.2";"72.5";"0"
"1962-06-21";"0";"20.7";"76.5";"0"
"1962-06-22";"0";"20.9";"72.8";"0"
"1962-06-23";"3.9";"20.6";"73.8";"0"
"1962-06-24";"0";"20.5";"79";"0"
"1962-06-25";"0";"20";"75.3";"0"
"1962-06-26";"0";"20.2";"80.3";"0"
"1962-06-27";"0";"20.5";"81.8";"0"
"1962-06-28";"0";"20.7";"75.3";"0"
"1962-06-29";"0";"20.9";"78.5";"0"
"1962-06-30";"0";"20.1";"78.8";"0"
"1962-07-01";"0";"20.6";"78.3";"0"
"1962-07-02";"0";"19.7";"80";"0"
"1962-07-03";"0";"19.9";"74.8";"0"
"1962-07-04";"0";"20.3";"76.3";"0"
"1962-07-05";"0";"19.9";"79.3";"0"
"1962-07-06";"0";"19.2";"81";"0"
"1962-07-07";"0";"18.7";"81.3";"0"
"1962-07-08";"0";"18.1";"78.3";"0"
"1962-07-09";"0";"18.9";"76.8";"0"
"1962-07-10";"18.6";"19.2";"78.5";"0"
"1962-07-11";"4.7";"19";"82.3";"0"
"1962-07-12";"0";"18.7";"75.5";"0"
"1962-07-13";"0";"19.3";"78";"0"
"1962-07-14";"0";"19.6";"76.3";"0"
"1962-07-15";"0";"20.1";"78";"0"
"1962-07-16";"0";"20.7";"80";"0"
"1962-07-17";"0";"20.7";"80.5";"0"
"1962-07-18";"1.7";"20.3";"78.3";"0"
"1962-07-19";"4.5";"20.3";"80";"0"
"1962-07-20";"0";"19.6";"76.3";"0"
"1962-07-21";"0";"19.7";"71.5";"0"
"1962-07-22";"0";"19.8";"83";"0"
"1962-07-23";"0";"20";"75.8";"0"
